gene_name	ID	num_exons	exons_length	gene_count_mean	is_filtered	NB_stat	NB_stat_exon	diff_exon
AT5G13450	AT5G13450.1	8	373,87,113,100,143,48,167,35,	1522.5	FALSE	54.1440044447466	8.96,0.8,75.28,0.01,318.14,4.14,25.5,0.33	5
AT1G16880	AT1G16880.1	12	85,273,46,138,95,85,60,294,56,106,69,246,	1305	FALSE	53.9477568544552	25.95,168.05,19.58,158.89,37.87,28.24,24.38,103,0,0.87,0.06,80.48	2
AT3G52890	AT3G52890.2	4	160,599,2041,1037,	2107.83333333333	FALSE	52.6388305698449	66.92,139.81,1.35,2.48	2
AT4G16520	AT4G16520.1	9	21,298,119,53,56,48,219,97,19,	1293.83333333333	FALSE	52.3330285223538	1.58,9.35,59.18,1.6,56.15,111.55,226.23,0.02,5.33	7
AT1G14685	AT1G14685.1	4	235,268,219,1218,	737.833333333333	FALSE	51.6666452011859	6.99,15.56,160.57,23.54	3
AT2G30520	AT2G30520.1	6	1441,378,191,70,81,98,	6423	FALSE	51.5286632877382	0.45,4.71,229.3,20.58,54.14,0	3
AT3G11280	AT3G11280.1	5	610,406,224,185,40,	872.666666666667	FALSE	51.4486296988784	6.11,20.05,226.78,2.23,2.07	3
AT3G02750	AT3G02750.1	11	856,224,103,118,420,403,88,60,373,271,23,	2972.66666666667	FALSE	51.3754964027495	11.55,0.15,191.93,0.06,14.66,6.41,1.72,0.42,166.97,119.89,NA	3
AT5G10360	AT5G10360.1	7	499,155,117,109,58,65,98,	3029.66666666667	FALSE	50.8524332606178	8.09,322.86,6.3,10.19,1.11,0.67,6.74	2
AT5G51970	AT5G51970.1	8	148,65,81,196,68,528,188,312,	3512.33333333333	FALSE	50.8379985206503	14.88,52.66,109.33,167.59,25.95,21.27,8.72,6.31	4
AT3G29240	AT3G29240.1	5	109,3,126,193,927,	2714.33333333333	FALSE	50.4085351433605	22.13,11.76,209.16,4.36,4.63	3
AT1G73600	AT1G73600.2	12	127,212,116,138,138,144,111,142,281,162,54,346,	3778.5	FALSE	50.3620175817965	179.03,311.23,92,0.79,16.04,2.27,0.91,0.52,0.55,0.02,0.98,0.02	2
AT5G45510	AT5G45510.1	4	190,3569,82,426,	9094.33333333333	FALSE	48.2339400526326	0.08,0.18,191.56,1.11	3
AT4G25672	AT4G25672.1	2	1013,200,	902.166666666667	FALSE	48.1281463379522	5.31,90.95	2
AT1G28280	AT1G28280.1	3	234,365,801,	526.833333333333	FALSE	47.837682757364	2.24,136.65,4.63	2
AT4G25030	AT4G25030.1	5	157,202,155,267,831,	1550.33333333333	FALSE	47.7842048204942	35.92,191.73,10,0.41,0.87	2
AT1G21750	AT1G21750.1	13	0,239,31,288,189,126,138,238,113,107,221,65,141,	3887.33333333333	FALSE	47.129985584141	0.35,27.18,0.92,21.47,7.27,3.22,14.43,4.15,12.74,9.73,364.37,21.62,125.22	11
AT4G34135	AT4G34135.1	3	659,60,1105,	717	FALSE	46.8469646138372	123.2,10.69,6.65	1
AT1G21130	AT1G21130.1	5	408,86,373,583,0,	1964.33333333333	FALSE	46.3064453242681	1.94,227.58,0,0.61,1.41	2
AT3G28270	AT3G28270.1	3	67,540,1311,	2014.66666666667	FALSE	46.296896870511	0.66,134.32,3.91	2
AT2G32480	AT2G32480.1	3	480,109,966,	2148.83333333333	FALSE	45.3879493347802	2.16,129.22,4.78	2
AT5G66180	AT5G66180.1	15	0,15,105,4,145,91,186,230,135,68,96,62,356,34,1,	1075.83333333333	FALSE	44.0050658913994	NA,10.93,33.32,NA,34.98,53.36,98.67,125.46,69.01,44.88,19.67,36.04,18.64,17.78,9.32	8
AT5G05690	AT5G05690.1	12	319,129,1,107,79,87,249,150,234,83,272,6,	4608.83333333333	FALSE	43.8640867745095	2,0.13,0.51,1.66,8.86,3.99,4.13,2.98,21.11,437.14,0,NA	10
AT3G52180	AT3G52180.1	14	364,108,60,264,96,57,60,133,81,77,77,103,130,163,	3308.66666666667	FALSE	43.7846584478549	5.66,1.17,1.25,568.47,0.25,8.42,2.18,3.8,2.99,5.23,4.75,3.05,5.19,0.58	4
AT2G43910	AT2G43910.1	11	29,206,4,74,47,100,101,87,67,131,177,	955	FALSE	43.3150073664206	2.74,2.77,1.3,1.28,28.52,100.44,9.85,26.87,176.14,60.65,65.9	9
AT3G01910	AT3G01910.1	17	1,340,216,48,102,111,93,2,119,82,76,37,63,30,85,113,118,	2272.16666666667	FALSE	43.1378522014218	1.97,10.52,8.91,0.01,2.51,45.86,8.62,2.77,131.38,66.42,74.28,48.38,66.77,52.62,29.54,164.04,18.74	16
AT4G21910	AT4G21910.1	15	80,122,177,77,62,19,87,119,239,57,632,417,79,380,60,	2382.5	FALSE	41.7486580097505	30.65,0.11,10.42,94.52,0.06,1.37,0.55,1.41,0.05,0.03,2.62,231.03,54.67,162.37,36.37	12
AT4G02880	AT4G02880.2	12	46,158,69,163,11,650,174,117,180,47,532,552,	1268.16666666667	FALSE	41.534327575637	10.18,37.91,1.64,32.56,0.67,98.8,40.88,16.74,29.5,32.52,22.6,174.4	12
AT1G61140	AT1G61140.1	16	432,210,552,155,192,131,889,78,72,1127,26,264,70,20,147,239,	2376.5	FALSE	41.4642594941541	154.54,96.19,237.27,50.97,0.55,0.85,40.4,1.11,0.93,33.03,2.84,29.35,0.63,5.79,3,5.97	3
AT1G26850	AT1G26850.1	11	499,78,40,349,295,211,658,63,225,5,188,	8059	FALSE	40.7886536823039	1.61,258.98,79.81,0.57,5.29,2.56,5.86,19.17,29.19,4.84,NA	2
AT1G58520	AT1G58520.2	22	244,131,225,256,8,9,163,37,82,198,147,64,59,2,207,195,299,277,276,234,178,567,	1703.66666666667	FALSE	40.6431061647883	89.76,133.74,144.18,204.43,0.02,NA,34.36,5.51,53.87,6.94,32.38,1.5,9.99,1.35,6.91,9.08,28.7,17.04,6.72,7.97,19.29,39.76	4
AT1G45688	AT1G45688.1	5	13,587,186,122,642,	1552.83333333333	FALSE	40.5600992314108	0.01,0.89,0.2,200.1,1.6	4
AT5G54600	AT5G54600.1	6	182,39,156,55,18,377,	2241.16666666667	FALSE	40.5231149618054	3.4,0.01,1.81,225.83,0,12.08	4
AT5G25520	AT5G25520.1	6	158,2073,121,207,60,922,	3990	FALSE	40.2477068418096	0.26,0.58,0.68,231,3.33,5.64	4
AT2G20630	AT2G20630.2	8	471,211,123,155,277,237,220,62,	1654	FALSE	39.9437603709294	88.72,175.33,0.1,0.13,7.88,2.92,4.52,NA	2
AT3G06190	AT3G06190.1	7	433,34,277,17,37,311,751,	980.166666666667	FALSE	39.9218774633802	5.11,32.69,193.16,2.63,20.35,6.52,18.99	3
AT2G47970	AT2G47970.1	4	1038,205,420,43,	1239	FALSE	39.9197957934286	0.62,155.74,0.28,3.04	2
AT4G28980	AT4G28980.1	5	533,953,320,262,5,	1117.83333333333	FALSE	39.787395546353	2.69,5.23,150.4,0.83,NA	3
AT5G01215	AT5G01215.1	5	428,526,93,561,297,	696	FALSE	39.2231809489988	82.67,2.01,61.87,10.34,NA	1
AT1G15930	AT1G15930.2	6	63,128,62,301,66,333,	1432	FALSE	39.0911255584195	38.54,170.95,15.36,0.07,4.95,4.67	2
AT1G60000	AT1G60000.1	6	3,235,199,250,218,63,	502.833333333333	FALSE	39.0232251355916	0.17,51.97,56.79,89.81,17.98,17.41	4
AT1G44446	AT1G44446.1	12	21,448,81,295,74,113,185,148,276,105,237,159,	7697.83333333333	FALSE	38.9561397335892	4.17,0.63,316.67,0.41,141.24,0.33,0.01,1.91,0.16,0.54,0.87,0.53	3
AT5G06600	AT5G06600.1	35	480,87,75,117,84,162,66,66,72,102,178,56,108,69,109,89,75,123,120,81,150,79,75,110,99,116,109,219,266,158,151,67,2,139,1,	7686.16666666667	FALSE	38.3458352954046	417.1,143.91,134.02,166.26,126.8,156.35,15.93,0.61,0.1,0.71,6.8,5.16,5.68,0.18,5.42,7.11,5.43,1.93,8.03,7.15,6.36,1.58,7.49,9.66,10.18,3.52,10.66,16.6,6.07,4.47,2.64,1.23,2.71,5.92,NA	1
AT3G09100	AT3G09100.2	18	580,131,175,99,108,272,138,163,50,132,210,132,63,84,152,127,196,241,	1777.66666666667	FALSE	38.1803816097299	148.06,72.72,75.09,55.29,71.51,178.46,4.64,13.31,5.7,5.48,15.76,5.59,8.83,2.69,4.13,6,10.65,3.34	6
AT1G14150	AT1G14150.1	3	506,93,218,	363	FALSE	38.155464201345	0.23,72.21,42.03	2
AT2G22090	AT2G22090.1	4	312,419,1087,0,	372.166666666667	FALSE	37.7574425166944	63.13,50.12,0.01,NA	1
AT1G73602	AT1G73602.1	11	212,116,138,138,144,111,142,281,162,54,343,	3691.16666666667	FALSE	37.0781739999843	290.26,78.55,3.45,22.43,0.38,2.94,2.47,3.88,0.6,2.1,0.81	1
AT4G27610	AT4G27610.1	10	83,848,105,225,483,79,144,267,59,22,	606.166666666667	FALSE	36.9715501079572	0.34,35.09,6.12,6.5,151.69,1.04,89.95,5.03,NA,NA	5
AT1G18210	AT1G18210.2	3	54,246,613,	670.833333333333	FALSE	36.7770044501685	25.7,82.15,2.47	2
AT1G24460	AT1G24460.2	15	197,102,132,3255,5,32,650,89,77,94,650,148,82,271,144,	9234	FALSE	36.7613225691902	8,1.91,159.2,0.51,0.14,44.43,0.34,111.43,4.2,160.36,15.67,0.51,0.97,7,NA	10
AT3G17510	AT3G17510.1	13	381,75,63,117,105,216,180,81,108,72,80,63,477,	1692.83333333333	FALSE	36.4908850576341	17.6,22.04,20,2.02,1.26,10.94,15.31,13.73,25.84,4.54,85.25,35.29,220.54	13
AT4G33000	AT4G33000.1	11	48,83,169,83,60,109,53,81,98,113,285,	390.166666666667	FALSE	36.3012383428006	14.52,11.86,24.3,27.81,34.74,34.51,15.97,23.89,3.3,45.3,163.11	11
AT2G16070	AT2G16070.1	3	822,202,388,	642.333333333333	FALSE	36.2925230375724	3.69,97.39,7.8	2
AT5G64170	AT5G64170.1	8	540,136,134,612,310,533,130,195,	5031.83333333333	FALSE	36.1657472231077	0.03,3.78,0.57,1.38,0,3.75,278.55,1.27	7
AT4G34240	AT4G34240.1	13	249,90,244,69,97,207,116,105,173,84,17,223,434,	1676.83333333333	FALSE	35.6037850720824	16.53,0,28.39,0.55,7.38,22.21,2.88,1.26,4.13,66.36,0.02,116.45,196.69	13
AT4G34000	AT4G34000.2	10	0,39,288,936,294,72,89,30,353,11,	2556.33333333333	FALSE	35.4533725308516	2.64,24.99,259.49,0.27,0.69,7.17,40.46,0.04,4.52,14.29	3
AT3G52990	AT3G52990.1	18	18,235,129,97,98,156,78,132,81,72,90,145,89,96,68,100,60,424,	4770.16666666667	FALSE	35.136082938287	3.06,0.29,554.71,0.05,49.36,2.9,1.09,3.15,0.4,3.45,4.91,0.18,0.53,7.06,0,0.58,0.18,0.54	3
AT2G01100	AT2G01100.2	8	0,2,73,64,383,33,998,72,	866.333333333333	FALSE	34.8513646192908	0.5,2.19,3.92,0,192.17,4.09,41.09,NA	5
AT3G02540	AT3G02540.1	17	6,397,88,111,113,48,90,66,147,175,2,156,68,51,162,235,21,	1987.83333333333	FALSE	34.7214145879866	1.88,346.38,37.96,44.13,11.34,5.05,115.04,0.37,3.22,5.57,0,4.66,0.1,0.11,7.08,2.77,4.59	2
AT3G53500	AT3G53500.1	9	530,102,194,96,40,217,114,150,5,	1082.83333333333	FALSE	34.4919762310106	6.69,4.66,1.17,41.71,7.22,205.15,4.02,5.31,NA	6
AT1G14400	AT1G14400.1	8	412,89,90,26,133,3,84,156,	1431.16666666667	FALSE	34.0105719568512	0.03,52.19,15.2,15.25,126.12,2.31,56.91,4.07	5
AT1G07280	AT1G07280.1	8	22,67,3,78,4,1516,435,43,	3780.16666666667	FALSE	33.6999174887195	74.88,38.36,0.42,137.68,10.76,0.01,0.03,7.44	4
AT1G67360	AT1G67360.1	5	744,240,80,41,179,	1962	FALSE	33.5175861125723	0.02,23.88,71.79,38.37,NA	3
AT2G46170	AT2G46170.1	5	299,181,142,155,516,	390	FALSE	33.5065088119999	11.25,3.03,0.88,49.95,102.43	5
AT5G37370	AT5G37370.4	11	109,898,23,48,81,77,146,92,109,90,107,	1002	FALSE	33.2524206214168	20.63,155.81,10.34,7.71,6.82,12.13,27.89,31.13,3.11,31.82,58.38	2
AT2G46330	AT2G46330.2	4	0,328,155,262,	256	FALSE	32.6246361890288	NA,33.39,64.34,0.14	3
AT3G52060	AT3G52060.1	4	0,347,85,1320,	1854.33333333333	FALSE	32.562668196031	NA,0.71,96.41,0.58	3
AT2G26800	AT2G26800.1	12	422,116,74,137,164,81,180,208,181,110,161,3,	1093.33333333333	FALSE	32.5449463011274	155.33,83.9,21.64,10.77,5.38,1.76,9.22,5.55,37.84,15.26,11.35,NA	1
AT5G17310	AT5G17310.2	21	1,335,177,99,84,57,76,53,33,113,58,73,74,51,78,61,93,91,92,48,145,	1966	FALSE	32.4245543233338	NA,0.8,3.33,3.77,0.21,7.11,2.85,8.7,3.42,0.25,0.62,7.49,12.49,4.81,10.52,57.49,137.24,146.92,93.79,15.51,131.17	18
AT2G17360	AT2G17360.1	7	121,78,181,98,168,132,299,	1985.16666666667	FALSE	32.4081626657033	0.25,2.69,4.5,0.25,0.39,196.23,22.55	6
AT2G04240	AT2G04240.1	4	727,454,122,2,	303.166666666667	FALSE	32.3722964200806	14.9,74.17,8.05,NA	2
AT5G06280	AT5G06280.1	4	461,86,520,8,	167.333333333333	FALSE	32.1995440630207	69.24,11.76,15.6,NA	1
AT4G21750	AT4G21750.2	12	340,239,362,118,657,102,201,175,272,96,445,398,	3531.33333333333	FALSE	32.1089364821734	244.61,134.32,0,0.01,0,0.19,0,0.02,0.09,2.17,2.14,1.75	1
AT4G08980	AT4G08980.4	11	116,17,12,9,81,103,101,289,322,750,342,	1460.5	FALSE	31.4278257023256	26.34,18.8,14.07,3.43,34.42,87.15,44.14,84.51,1.37,0.04,NA	6
AT5G15948	AT5G15948.1	3	100,75,1627,	4423.5	FALSE	31.1859799177304	45.72,47.79,0.06	2
AT2G35390	AT2G35390.1	11	430,101,82,70,168,144,423,328,334,23,26,	1328.83333333333	FALSE	30.6638848312483	0.11,114.88,1.91,0.96,0.12,3.69,0.27,153.11,0.92,NA,NA	8
AT5G65720	AT5G65720.1	3	250,75,1493,	2934.66666666667	FALSE	30.5225733231555	0.55,86.3,4.72	2
AT4G33300	AT4G33300.2	8	282,84,856,206,356,377,826,240,	4885.66666666667	FALSE	30.381197532344	180.31,33.05,1.4,1.25,0,0.49,6.38,20.18	1
AT4G04570	AT4G04570.1	8	927,117,134,211,238,139,171,323,	2191.83333333333	FALSE	30.2756836077095	1.85,3.33,2.41,0.59,0.01,2.26,68.55,163.21	8
AT5G65430	AT5G65430.1	8	180,179,5,118,117,123,573,133,	1689	FALSE	30.1713757535522	16.98,29.93,0.45,157.35,1.12,1.9,3.47,NA	4
AT5G35620	AT5G35620.1	8	23,250,66,440,132,175,228,22,	560	FALSE	30.1645529898552	0.28,7.55,6.12,183.81,0.01,31.52,7.07,4.97	4
AT4G25640	AT4G25640.2	10	214,241,68,87,119,239,57,626,350,3,	3416.33333333333	FALSE	29.9457354911107	89.45,172.79,3.33,0.29,0,0.66,0.07,0.25,2.67,NA	2
AT2G01060	AT2G01060.1	9	693,70,58,43,77,197,123,189,10,	1019.33333333333	FALSE	29.8181457429002	8.88,0.2,5.32,0.11,23.8,217.61,8.9,2.61,0.94	6
AT3G58610	AT3G58610.1	16	0,27,76,319,93,66,141,228,118,140,168,156,461,68,40,137,	9195	FALSE	29.5621001300852	0.2,22.31,139.79,16.23,101.82,2.89,3.87,2.76,1.38,1.23,0.21,0.52,3.63,110.65,35.93,NA	3
AT1G67430	AT1G67430.1	8	53,37,41,231,103,28,39,207,	995	FALSE	29.4130161175585	13.06,4.82,7.51,1.92,167.59,18.37,20.71,1.32	5
AT2G45010	AT2G45010.1	7	12,233,597,115,269,482,1,	278.333333333333	FALSE	29.3243250819298	5.75,4.72,136.22,7.58,13.4,8.27,NA	3
AT3G08030	AT3G08030.1	5	119,117,198,498,704,	1640.66666666667	FALSE	29.0636452909001	8.44,18.55,105.64,12.48,0.21	3
AT5G45350	AT5G45350.1	5	502,318,139,36,5,	1769.83333333333	FALSE	28.9773857712585	4.74,2.09,131.3,6.17,0.59	3
AT4G15415	AT4G15415.2	5	155,244,131,1334,722,	1086.16666666667	FALSE	28.9122665227407	4.07,21.44,118.07,0.54,0.44	3
AT3G59040	AT3G59040.1	8	762,99,125,540,316,333,135,35,	1885.16666666667	FALSE	28.8177458440595	2.73,0.09,9.11,1.49,8.38,204.19,2.23,2.32	6
AT2G05810	AT2G05810.1	3	344,76,1938,	1046.33333333333	FALSE	28.7632723622265	59.52,25.92,0.85	1
AT5G58330	AT5G58330.1	15	345,54,69,69,123,102,75,91,338,87,91,2,3,181,99,	3375.66666666667	FALSE	28.3315731937305	49.61,0.68,3.08,4.58,23.06,14.53,5.87,12.08,228.23,22.04,13.12,1.29,NA,10.96,7.51	9
AT3G48115	AT3G48115.2	4	13,381,473,85,	105.5	FALSE	28.176443293157	NA,29.65,26.7,NA	2
